Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1965A,IT1965A,SPO.IT1965A_6001_BETA_2009-03-14_00:00:00,SPP.IT1965A_6001_BETA_2009-03-14_00:00:00,SAM.IT1965A_6001_BETA_2009-03-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,58.0000000000,µg/m3,2020-01-10 00:00:00 +01:00,2020-01-11 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1965A,IT1965A,SPO.IT1965A_6001_BETA_2009-03-14_00:00:00,SPP.IT1965A_6001_BETA_2009-03-14_00:00:00,SAM.IT1965A_6001_BETA_2009-03-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,55.4000000000,µg/m3,2020-01-11 00:00:00 +01:00,2020-01-12 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1965A,IT1965A,SPO.IT1965A_6001_BETA_2009-03-14_00:00:00,SPP.IT1965A_6001_BETA_2009-03-14_00:00:00,SAM.IT1965A_6001_BETA_2009-03-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,55.9000000000,µg/m3,2020-01-12 00:00:00 +01:00,2020-01-13 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1965A,IT1965A,SPO.IT1965A_6001_BETA_2009-03-14_00:00:00,SPP.IT1965A_6001_BETA_2009-03-14_00:00:00,SAM.IT1965A_6001_BETA_2009-03-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,56.0999900000,µg/m3,2020-01-13 00:00:00 +01:00,2020-01-14 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1965A,IT1965A,SPO.IT1965A_6001_BETA_2009-03-14_00:00:00,SPP.IT1965A_6001_BETA_2009-03-14_00:00:00,SAM.IT1965A_6001_BETA_2009-03-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,67.4000000000,µg/m3,2020-01-14 00:00:00 +01:00,2020-01-15 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1965A,IT1965A,SPO.IT1965A_6001_BETA_2009-03-14_00:00:00,SPP.IT1965A_6001_BETA_2009-03-14_00:00:00,SAM.IT1965A_6001_BETA_2009-03-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,81.6999800000,µg/m3,2020-01-15 00:00:00 +01:00,2020-01-16 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1965A,IT1965A,SPO.IT1965A_6001_BETA_2009-03-14_00:00:00,SPP.IT1965A_6001_BETA_2009-03-14_00:00:00,SAM.IT1965A_6001_BETA_2009-03-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,81.0999900000,µg/m3,2020-01-16 00:00:00 +01:00,2020-01-17 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1965A,IT1965A,SPO.IT1965A_6001_BETA_2009-03-14_00:00:00,SPP.IT1965A_6001_BETA_2009-03-14_00:00:00,SAM.IT1965A_6001_BETA_2009-03-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,64.5000000000,µg/m3,2020-01-17 00:00:00 +01:00,2020-01-18 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1965A,IT1965A,SPO.IT1965A_6001_BETA_2009-03-14_00:00:00,SPP.IT1965A_6001_BETA_2009-03-14_00:00:00,SAM.IT1965A_6001_BETA_2009-03-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,40.0000000000,µg/m3,2020-01-18 00:00:00 +01:00,2020-01-19 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1965A,IT1965A,SPO.IT1965A_6001_BETA_2009-03-14_00:00:00,SPP.IT1965A_6001_BETA_2009-03-14_00:00:00,SAM.IT1965A_6001_BETA_2009-03-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,33.2999900000,µg/m3,2020-01-19 00:00:00 +01:00,2020-01-20 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1965A,IT1965A,SPO.IT1965A_6001_BETA_2009-03-14_00:00:00,SPP.IT1965A_6001_BETA_2009-03-14_00:00:00,SAM.IT1965A_6001_BETA_2009-03-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,16.1000000000,µg/m3,2020-01-20 00:00:00 +01:00,2020-01-21 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1965A,IT1965A,SPO.IT1965A_6001_BETA_2009-03-14_00:00:00,SPP.IT1965A_6001_BETA_2009-03-14_00:00:00,SAM.IT1965A_6001_BETA_2009-03-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,35.2000000000,µg/m3,2020-01-21 00:00:00 +01:00,2020-01-22 00:00:00 +01:00,1,3
