Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IT,IT.ISPRA.AQD,NET.IT133A,STA.IT2204A,IT2204A,SPO.IT2204A_6001_BETA_2013-03-01_00:00:00,SPP.IT2204A_6001_BETA_2013-03-01_00:00:00,SAM.IT2204A_6001_BETA_2013-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,14.3270000000,µg/m3,2020-01-10 00:00:00 +01:00,2020-01-11 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT133A,STA.IT2204A,IT2204A,SPO.IT2204A_6001_BETA_2013-03-01_00:00:00,SPP.IT2204A_6001_BETA_2013-03-01_00:00:00,SAM.IT2204A_6001_BETA_2013-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2020-01-11 00:00:00 +01:00,2020-01-12 00:00:00 +01:00,-1,3
IT,IT.ISPRA.AQD,NET.IT133A,STA.IT2204A,IT2204A,SPO.IT2204A_6001_BETA_2013-03-01_00:00:00,SPP.IT2204A_6001_BETA_2013-03-01_00:00:00,SAM.IT2204A_6001_BETA_2013-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,22.3120000000,µg/m3,2020-01-12 00:00:00 +01:00,2020-01-13 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT133A,STA.IT2204A,IT2204A,SPO.IT2204A_6001_BETA_2013-03-01_00:00:00,SPP.IT2204A_6001_BETA_2013-03-01_00:00:00,SAM.IT2204A_6001_BETA_2013-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2020-01-13 00:00:00 +01:00,2020-01-14 00:00:00 +01:00,-1,3
IT,IT.ISPRA.AQD,NET.IT133A,STA.IT2204A,IT2204A,SPO.IT2204A_6001_BETA_2013-03-01_00:00:00,SPP.IT2204A_6001_BETA_2013-03-01_00:00:00,SAM.IT2204A_6001_BETA_2013-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2020-01-14 00:00:00 +01:00,2020-01-15 00:00:00 +01:00,-1,3
IT,IT.ISPRA.AQD,NET.IT133A,STA.IT2204A,IT2204A,SPO.IT2204A_6001_BETA_2013-03-01_00:00:00,SPP.IT2204A_6001_BETA_2013-03-01_00:00:00,SAM.IT2204A_6001_BETA_2013-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2020-01-15 00:00:00 +01:00,2020-01-16 00:00:00 +01:00,-1,3
IT,IT.ISPRA.AQD,NET.IT133A,STA.IT2204A,IT2204A,SPO.IT2204A_6001_BETA_2013-03-01_00:00:00,SPP.IT2204A_6001_BETA_2013-03-01_00:00:00,SAM.IT2204A_6001_BETA_2013-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,23.0050000000,µg/m3,2020-01-16 00:00:00 +01:00,2020-01-17 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT133A,STA.IT2204A,IT2204A,SPO.IT2204A_6001_BETA_2013-03-01_00:00:00,SPP.IT2204A_6001_BETA_2013-03-01_00:00:00,SAM.IT2204A_6001_BETA_2013-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,17.6710000000,µg/m3,2020-01-17 00:00:00 +01:00,2020-01-18 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT133A,STA.IT2204A,IT2204A,SPO.IT2204A_6001_BETA_2013-03-01_00:00:00,SPP.IT2204A_6001_BETA_2013-03-01_00:00:00,SAM.IT2204A_6001_BETA_2013-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,21.3270000000,µg/m3,2020-01-18 00:00:00 +01:00,2020-01-19 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT133A,STA.IT2204A,IT2204A,SPO.IT2204A_6001_BETA_2013-03-01_00:00:00,SPP.IT2204A_6001_BETA_2013-03-01_00:00:00,SAM.IT2204A_6001_BETA_2013-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,8.2860000000,µg/m3,2020-01-19 00:00:00 +01:00,2020-01-20 00:00:00 +01:00,1,3
