Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IT,IT.ISPRA.AQD,NET.IT267A,STA.IT2093A,IT2093A,SPO.IT2093A_6001_BETA_2014-12-31_00:00:00,SPP.IT2093A_6001_BETA_2014-12-31_00:00:00,SAM.IT2093A_6001_BETA_2014-12-31_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,23.2900030000,µg/m3,2020-01-11 00:00:00 +01:00,2020-01-12 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT267A,STA.IT2093A,IT2093A,SPO.IT2093A_6001_BETA_2014-12-31_00:00:00,SPP.IT2093A_6001_BETA_2014-12-31_00:00:00,SAM.IT2093A_6001_BETA_2014-12-31_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,24.6400070000,µg/m3,2020-01-12 00:00:00 +01:00,2020-01-13 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT267A,STA.IT2093A,IT2093A,SPO.IT2093A_6001_BETA_2014-12-31_00:00:00,SPP.IT2093A_6001_BETA_2014-12-31_00:00:00,SAM.IT2093A_6001_BETA_2014-12-31_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,16.8599950000,µg/m3,2020-01-13 00:00:00 +01:00,2020-01-14 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT267A,STA.IT2093A,IT2093A,SPO.IT2093A_6001_BETA_2014-12-31_00:00:00,SPP.IT2093A_6001_BETA_2014-12-31_00:00:00,SAM.IT2093A_6001_BETA_2014-12-31_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,19.3599950000,µg/m3,2020-01-14 00:00:00 +01:00,2020-01-15 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT267A,STA.IT2093A,IT2093A,SPO.IT2093A_6001_BETA_2014-12-31_00:00:00,SPP.IT2093A_6001_BETA_2014-12-31_00:00:00,SAM.IT2093A_6001_BETA_2014-12-31_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,22.5600000000,µg/m3,2020-01-15 00:00:00 +01:00,2020-01-16 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT267A,STA.IT2093A,IT2093A,SPO.IT2093A_6001_BETA_2014-12-31_00:00:00,SPP.IT2093A_6001_BETA_2014-12-31_00:00:00,SAM.IT2093A_6001_BETA_2014-12-31_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,14.1199980000,µg/m3,2020-01-16 00:00:00 +01:00,2020-01-17 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT267A,STA.IT2093A,IT2093A,SPO.IT2093A_6001_BETA_2014-12-31_00:00:00,SPP.IT2093A_6001_BETA_2014-12-31_00:00:00,SAM.IT2093A_6001_BETA_2014-12-31_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,15.7800000000,µg/m3,2020-01-17 00:00:00 +01:00,2020-01-18 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT267A,STA.IT2093A,IT2093A,SPO.IT2093A_6001_BETA_2014-12-31_00:00:00,SPP.IT2093A_6001_BETA_2014-12-31_00:00:00,SAM.IT2093A_6001_BETA_2014-12-31_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,10.3699980000,µg/m3,2020-01-18 00:00:00 +01:00,2020-01-19 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT267A,STA.IT2093A,IT2093A,SPO.IT2093A_6001_BETA_2014-12-31_00:00:00,SPP.IT2093A_6001_BETA_2014-12-31_00:00:00,SAM.IT2093A_6001_BETA_2014-12-31_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,10.0200030000,µg/m3,2020-01-19 00:00:00 +01:00,2020-01-20 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT267A,STA.IT2093A,IT2093A,SPO.IT2093A_6001_BETA_2014-12-31_00:00:00,SPP.IT2093A_6001_BETA_2014-12-31_00:00:00,SAM.IT2093A_6001_BETA_2014-12-31_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,11.6000020000,µg/m3,2020-01-20 00:00:00 +01:00,2020-01-21 00:00:00 +01:00,1,3
