Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1286A,IT1286A,SPO.IT1286A_6001_BETA_2007-01-01_00:00:00,SPP.IT1286A_6001_BETA_2007-01-01_00:00:00,SAM.IT1286A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,43.0366670000,µg/m3,2020-01-10 00:00:00 +01:00,2020-01-11 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1286A,IT1286A,SPO.IT1286A_6001_BETA_2007-01-01_00:00:00,SPP.IT1286A_6001_BETA_2007-01-01_00:00:00,SAM.IT1286A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,45.5500000000,µg/m3,2020-01-11 00:00:00 +01:00,2020-01-12 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1286A,IT1286A,SPO.IT1286A_6001_BETA_2007-01-01_00:00:00,SPP.IT1286A_6001_BETA_2007-01-01_00:00:00,SAM.IT1286A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,44.2983300000,µg/m3,2020-01-12 00:00:00 +01:00,2020-01-13 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1286A,IT1286A,SPO.IT1286A_6001_BETA_2007-01-01_00:00:00,SPP.IT1286A_6001_BETA_2007-01-01_00:00:00,SAM.IT1286A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,52.2391620000,µg/m3,2020-01-13 00:00:00 +01:00,2020-01-14 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1286A,IT1286A,SPO.IT1286A_6001_BETA_2007-01-01_00:00:00,SPP.IT1286A_6001_BETA_2007-01-01_00:00:00,SAM.IT1286A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,57.7641640000,µg/m3,2020-01-14 00:00:00 +01:00,2020-01-15 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1286A,IT1286A,SPO.IT1286A_6001_BETA_2007-01-01_00:00:00,SPP.IT1286A_6001_BETA_2007-01-01_00:00:00,SAM.IT1286A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,68.4324950000,µg/m3,2020-01-15 00:00:00 +01:00,2020-01-16 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1286A,IT1286A,SPO.IT1286A_6001_BETA_2007-01-01_00:00:00,SPP.IT1286A_6001_BETA_2007-01-01_00:00:00,SAM.IT1286A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,71.0524900000,µg/m3,2020-01-16 00:00:00 +01:00,2020-01-17 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1286A,IT1286A,SPO.IT1286A_6001_BETA_2007-01-01_00:00:00,SPP.IT1286A_6001_BETA_2007-01-01_00:00:00,SAM.IT1286A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,55.0441630000,µg/m3,2020-01-17 00:00:00 +01:00,2020-01-18 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1286A,IT1286A,SPO.IT1286A_6001_BETA_2007-01-01_00:00:00,SPP.IT1286A_6001_BETA_2007-01-01_00:00:00,SAM.IT1286A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,31.4066620000,µg/m3,2020-01-18 00:00:00 +01:00,2020-01-19 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1286A,IT1286A,SPO.IT1286A_6001_BETA_2007-01-01_00:00:00,SPP.IT1286A_6001_BETA_2007-01-01_00:00:00,SAM.IT1286A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,25.5049970000,µg/m3,2020-01-19 00:00:00 +01:00,2020-01-20 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1286A,IT1286A,SPO.IT1286A_6001_BETA_2007-01-01_00:00:00,SPP.IT1286A_6001_BETA_2007-01-01_00:00:00,SAM.IT1286A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,15.6425000000,µg/m3,2020-01-20 00:00:00 +01:00,2020-01-21 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1286A,IT1286A,SPO.IT1286A_6001_BETA_2007-01-01_00:00:00,SPP.IT1286A_6001_BETA_2007-01-01_00:00:00,SAM.IT1286A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,19.0525000000,µg/m3,2020-01-21 00:00:00 +01:00,2020-01-22 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1286A,IT1286A,SPO.IT1286A_6001_BETA_2007-01-01_00:00:00,SPP.IT1286A_6001_BETA_2007-01-01_00:00:00,SAM.IT1286A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,31.4250000000,µg/m3,2020-01-22 00:00:00 +01:00,2020-01-23 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1286A,IT1286A,SPO.IT1286A_6001_BETA_2007-01-01_00:00:00,SPP.IT1286A_6001_BETA_2007-01-01_00:00:00,SAM.IT1286A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,43.7216640000,µg/m3,2020-01-23 00:00:00 +01:00,2020-01-24 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1286A,IT1286A,SPO.IT1286A_6001_BETA_2007-01-01_00:00:00,SPP.IT1286A_6001_BETA_2007-01-01_00:00:00,SAM.IT1286A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,59.9024960000,µg/m3,2020-01-24 00:00:00 +01:00,2020-01-25 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1286A,IT1286A,SPO.IT1286A_6001_BETA_2007-01-01_00:00:00,SPP.IT1286A_6001_BETA_2007-01-01_00:00:00,SAM.IT1286A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,64.1116640000,µg/m3,2020-01-25 00:00:00 +01:00,2020-01-26 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1286A,IT1286A,SPO.IT1286A_6001_BETA_2007-01-01_00:00:00,SPP.IT1286A_6001_BETA_2007-01-01_00:00:00,SAM.IT1286A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,54.8366620000,µg/m3,2020-01-26 00:00:00 +01:00,2020-01-27 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1286A,IT1286A,SPO.IT1286A_6001_BETA_2007-01-01_00:00:00,SPP.IT1286A_6001_BETA_2007-01-01_00:00:00,SAM.IT1286A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,46.6716650000,µg/m3,2020-01-27 00:00:00 +01:00,2020-01-28 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1286A,IT1286A,SPO.IT1286A_6001_BETA_2007-01-01_00:00:00,SPP.IT1286A_6001_BETA_2007-01-01_00:00:00,SAM.IT1286A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,57.9849970000,µg/m3,2020-01-28 00:00:00 +01:00,2020-01-29 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1286A,IT1286A,SPO.IT1286A_6001_BETA_2007-01-01_00:00:00,SPP.IT1286A_6001_BETA_2007-01-01_00:00:00,SAM.IT1286A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,27.7074990000,µg/m3,2020-01-29 00:00:00 +01:00,2020-01-30 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT158A,STA.IT1286A,IT1286A,SPO.IT1286A_6001_BETA_2007-01-01_00:00:00,SPP.IT1286A_6001_BETA_2007-01-01_00:00:00,SAM.IT1286A_6001_BETA_2007-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,22.9166620000,µg/m3,2020-02-13 00:00:00 +01:00,2020-02-14 00:00:00 +01:00,1,3
