Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IT,IT.ISPRA.AQD,NET.IT252A,STA.IT2068A,IT2068A,SPO.IT2068A_6001_BETA_2011-03-01_00:00:00,SPP.IT2068A_6001_BETA_2011-03-01_00:00:00,SAM.IT2068A_6001_BETA_2011-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,40.2000000000,µg/m3,2020-01-10 00:00:00 +01:00,2020-01-11 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT252A,STA.IT2068A,IT2068A,SPO.IT2068A_6001_BETA_2011-03-01_00:00:00,SPP.IT2068A_6001_BETA_2011-03-01_00:00:00,SAM.IT2068A_6001_BETA_2011-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,56.5000000000,µg/m3,2020-01-11 00:00:00 +01:00,2020-01-12 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT252A,STA.IT2068A,IT2068A,SPO.IT2068A_6001_BETA_2011-03-01_00:00:00,SPP.IT2068A_6001_BETA_2011-03-01_00:00:00,SAM.IT2068A_6001_BETA_2011-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,41.7000000000,µg/m3,2020-01-12 00:00:00 +01:00,2020-01-13 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT252A,STA.IT2068A,IT2068A,SPO.IT2068A_6001_BETA_2011-03-01_00:00:00,SPP.IT2068A_6001_BETA_2011-03-01_00:00:00,SAM.IT2068A_6001_BETA_2011-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,46.2000000000,µg/m3,2020-01-13 00:00:00 +01:00,2020-01-14 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT252A,STA.IT2068A,IT2068A,SPO.IT2068A_6001_BETA_2011-03-01_00:00:00,SPP.IT2068A_6001_BETA_2011-03-01_00:00:00,SAM.IT2068A_6001_BETA_2011-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,41.7000000000,µg/m3,2020-01-14 00:00:00 +01:00,2020-01-15 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT252A,STA.IT2068A,IT2068A,SPO.IT2068A_6001_BETA_2011-03-01_00:00:00,SPP.IT2068A_6001_BETA_2011-03-01_00:00:00,SAM.IT2068A_6001_BETA_2011-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,40.5000000000,µg/m3,2020-01-15 00:00:00 +01:00,2020-01-16 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT252A,STA.IT2068A,IT2068A,SPO.IT2068A_6001_BETA_2011-03-01_00:00:00,SPP.IT2068A_6001_BETA_2011-03-01_00:00:00,SAM.IT2068A_6001_BETA_2011-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,43.4000000000,µg/m3,2020-01-16 00:00:00 +01:00,2020-01-17 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT252A,STA.IT2068A,IT2068A,SPO.IT2068A_6001_BETA_2011-03-01_00:00:00,SPP.IT2068A_6001_BETA_2011-03-01_00:00:00,SAM.IT2068A_6001_BETA_2011-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,51.9000000000,µg/m3,2020-01-17 00:00:00 +01:00,2020-01-18 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT252A,STA.IT2068A,IT2068A,SPO.IT2068A_6001_BETA_2011-03-01_00:00:00,SPP.IT2068A_6001_BETA_2011-03-01_00:00:00,SAM.IT2068A_6001_BETA_2011-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,27.6000000000,µg/m3,2020-01-18 00:00:00 +01:00,2020-01-19 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT252A,STA.IT2068A,IT2068A,SPO.IT2068A_6001_BETA_2011-03-01_00:00:00,SPP.IT2068A_6001_BETA_2011-03-01_00:00:00,SAM.IT2068A_6001_BETA_2011-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,11.2000000000,µg/m3,2020-01-19 00:00:00 +01:00,2020-01-20 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT252A,STA.IT2068A,IT2068A,SPO.IT2068A_6001_BETA_2011-03-01_00:00:00,SPP.IT2068A_6001_BETA_2011-03-01_00:00:00,SAM.IT2068A_6001_BETA_2011-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,16.2000000000,µg/m3,2020-01-20 00:00:00 +01:00,2020-01-21 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT252A,STA.IT2068A,IT2068A,SPO.IT2068A_6001_BETA_2011-03-01_00:00:00,SPP.IT2068A_6001_BETA_2011-03-01_00:00:00,SAM.IT2068A_6001_BETA_2011-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,29.9000000000,µg/m3,2020-01-21 00:00:00 +01:00,2020-01-22 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT252A,STA.IT2068A,IT2068A,SPO.IT2068A_6001_BETA_2011-03-01_00:00:00,SPP.IT2068A_6001_BETA_2011-03-01_00:00:00,SAM.IT2068A_6001_BETA_2011-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,44.7000000000,µg/m3,2020-01-22 00:00:00 +01:00,2020-01-23 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT252A,STA.IT2068A,IT2068A,SPO.IT2068A_6001_BETA_2011-03-01_00:00:00,SPP.IT2068A_6001_BETA_2011-03-01_00:00:00,SAM.IT2068A_6001_BETA_2011-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,40.7000000000,µg/m3,2020-01-23 00:00:00 +01:00,2020-01-24 00:00:00 +01:00,1,3
