Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IT,IT.ISPRA.AQD,NET.IT229A,STA.IT1932A,IT1932A,SPO.IT1932A_6001_BETA_2009-09-01_00:00:00,SPP.IT1932A_6001_BETA_2009-09-01_00:00:00,SAM.IT1932A_6001_BETA_2009-09-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,39.1000000000,µg/m3,2020-01-11 00:00:00 +01:00,2020-01-12 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT229A,STA.IT1932A,IT1932A,SPO.IT1932A_6001_BETA_2009-09-01_00:00:00,SPP.IT1932A_6001_BETA_2009-09-01_00:00:00,SAM.IT1932A_6001_BETA_2009-09-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,30.1000000000,µg/m3,2020-01-12 00:00:00 +01:00,2020-01-13 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT229A,STA.IT1932A,IT1932A,SPO.IT1932A_6001_BETA_2009-09-01_00:00:00,SPP.IT1932A_6001_BETA_2009-09-01_00:00:00,SAM.IT1932A_6001_BETA_2009-09-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,23.4000000000,µg/m3,2020-01-13 00:00:00 +01:00,2020-01-14 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT229A,STA.IT1932A,IT1932A,SPO.IT1932A_6001_BETA_2009-09-01_00:00:00,SPP.IT1932A_6001_BETA_2009-09-01_00:00:00,SAM.IT1932A_6001_BETA_2009-09-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,17.0000000000,µg/m3,2020-01-14 00:00:00 +01:00,2020-01-15 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT229A,STA.IT1932A,IT1932A,SPO.IT1932A_6001_BETA_2009-09-01_00:00:00,SPP.IT1932A_6001_BETA_2009-09-01_00:00:00,SAM.IT1932A_6001_BETA_2009-09-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,33.6000000000,µg/m3,2020-01-18 00:00:00 +01:00,2020-01-19 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT229A,STA.IT1932A,IT1932A,SPO.IT1932A_6001_BETA_2009-09-01_00:00:00,SPP.IT1932A_6001_BETA_2009-09-01_00:00:00,SAM.IT1932A_6001_BETA_2009-09-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,30.0000000000,µg/m3,2020-01-19 00:00:00 +01:00,2020-01-20 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT229A,STA.IT1932A,IT1932A,SPO.IT1932A_6001_BETA_2009-09-01_00:00:00,SPP.IT1932A_6001_BETA_2009-09-01_00:00:00,SAM.IT1932A_6001_BETA_2009-09-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,18.9000000000,µg/m3,2020-01-20 00:00:00 +01:00,2020-01-21 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT229A,STA.IT1932A,IT1932A,SPO.IT1932A_6001_BETA_2009-09-01_00:00:00,SPP.IT1932A_6001_BETA_2009-09-01_00:00:00,SAM.IT1932A_6001_BETA_2009-09-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,14.9000000000,µg/m3,2020-01-21 00:00:00 +01:00,2020-01-22 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT229A,STA.IT1932A,IT1932A,SPO.IT1932A_6001_BETA_2009-09-01_00:00:00,SPP.IT1932A_6001_BETA_2009-09-01_00:00:00,SAM.IT1932A_6001_BETA_2009-09-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,17.1000000000,µg/m3,2020-01-22 00:00:00 +01:00,2020-01-23 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT229A,STA.IT1932A,IT1932A,SPO.IT1932A_6001_BETA_2009-09-01_00:00:00,SPP.IT1932A_6001_BETA_2009-09-01_00:00:00,SAM.IT1932A_6001_BETA_2009-09-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,22.6000000000,µg/m3,2020-01-23 00:00:00 +01:00,2020-01-24 00:00:00 +01:00,1,3
