Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IT,IT.ISPRA.AQD,NET.IT279A,STA.IT2241A,IT2241A,SPO.IT2241A_6001_BETA_2015-11-28_00:00:00,SPP.IT2241A_6001_BETA_2015-11-28_00:00:00,SAM.IT2241A_6001_BETA_2015-11-28_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,22.0000000000,µg/m3,2020-01-10 00:00:00 +01:00,2020-01-11 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT279A,STA.IT2241A,IT2241A,SPO.IT2241A_6001_BETA_2015-11-28_00:00:00,SPP.IT2241A_6001_BETA_2015-11-28_00:00:00,SAM.IT2241A_6001_BETA_2015-11-28_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,16.0000000000,µg/m3,2020-01-11 00:00:00 +01:00,2020-01-12 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT279A,STA.IT2241A,IT2241A,SPO.IT2241A_6001_BETA_2015-11-28_00:00:00,SPP.IT2241A_6001_BETA_2015-11-28_00:00:00,SAM.IT2241A_6001_BETA_2015-11-28_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,13.0000000000,µg/m3,2020-01-12 00:00:00 +01:00,2020-01-13 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT279A,STA.IT2241A,IT2241A,SPO.IT2241A_6001_BETA_2015-11-28_00:00:00,SPP.IT2241A_6001_BETA_2015-11-28_00:00:00,SAM.IT2241A_6001_BETA_2015-11-28_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,25.0000000000,µg/m3,2020-01-13 00:00:00 +01:00,2020-01-14 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT279A,STA.IT2241A,IT2241A,SPO.IT2241A_6001_BETA_2015-11-28_00:00:00,SPP.IT2241A_6001_BETA_2015-11-28_00:00:00,SAM.IT2241A_6001_BETA_2015-11-28_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,29.0000000000,µg/m3,2020-01-14 00:00:00 +01:00,2020-01-15 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT279A,STA.IT2241A,IT2241A,SPO.IT2241A_6001_BETA_2015-11-28_00:00:00,SPP.IT2241A_6001_BETA_2015-11-28_00:00:00,SAM.IT2241A_6001_BETA_2015-11-28_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,17.0000000000,µg/m3,2020-01-15 00:00:00 +01:00,2020-01-16 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT279A,STA.IT2241A,IT2241A,SPO.IT2241A_6001_BETA_2015-11-28_00:00:00,SPP.IT2241A_6001_BETA_2015-11-28_00:00:00,SAM.IT2241A_6001_BETA_2015-11-28_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,24.0000000000,µg/m3,2020-01-16 00:00:00 +01:00,2020-01-17 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT279A,STA.IT2241A,IT2241A,SPO.IT2241A_6001_BETA_2015-11-28_00:00:00,SPP.IT2241A_6001_BETA_2015-11-28_00:00:00,SAM.IT2241A_6001_BETA_2015-11-28_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,35.0000000000,µg/m3,2020-01-17 00:00:00 +01:00,2020-01-18 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT279A,STA.IT2241A,IT2241A,SPO.IT2241A_6001_BETA_2015-11-28_00:00:00,SPP.IT2241A_6001_BETA_2015-11-28_00:00:00,SAM.IT2241A_6001_BETA_2015-11-28_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,14.0000000000,µg/m3,2020-01-18 00:00:00 +01:00,2020-01-19 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT279A,STA.IT2241A,IT2241A,SPO.IT2241A_6001_BETA_2015-11-28_00:00:00,SPP.IT2241A_6001_BETA_2015-11-28_00:00:00,SAM.IT2241A_6001_BETA_2015-11-28_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,12.0000000000,µg/m3,2020-01-19 00:00:00 +01:00,2020-01-20 00:00:00 +01:00,1,3
