Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IT,IT.ISPRA.AQD,NET.IT116A,STA.IT2210A,IT2210A,SPO.IT2210A_6001_BETA_2015-01-01_00:00:00,SPP.IT2210A_6001_BETA_2015-01-01_00:00:00,SAM.IT2210A_6001_BETA_2015-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,21.5000000000,µg/m3,2020-01-11 00:00:00 +01:00,2020-01-12 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT116A,STA.IT2210A,IT2210A,SPO.IT2210A_6001_BETA_2015-01-01_00:00:00,SPP.IT2210A_6001_BETA_2015-01-01_00:00:00,SAM.IT2210A_6001_BETA_2015-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,21.7000000000,µg/m3,2020-01-12 00:00:00 +01:00,2020-01-13 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT116A,STA.IT2210A,IT2210A,SPO.IT2210A_6001_BETA_2015-01-01_00:00:00,SPP.IT2210A_6001_BETA_2015-01-01_00:00:00,SAM.IT2210A_6001_BETA_2015-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,0.0000000000,µg/m3,2020-01-13 00:00:00 +01:00,2020-01-14 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT116A,STA.IT2210A,IT2210A,SPO.IT2210A_6001_BETA_2015-01-01_00:00:00,SPP.IT2210A_6001_BETA_2015-01-01_00:00:00,SAM.IT2210A_6001_BETA_2015-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,0.0000000000,µg/m3,2020-01-14 00:00:00 +01:00,2020-01-15 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT116A,STA.IT2210A,IT2210A,SPO.IT2210A_6001_BETA_2015-01-01_00:00:00,SPP.IT2210A_6001_BETA_2015-01-01_00:00:00,SAM.IT2210A_6001_BETA_2015-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,43.9000000000,µg/m3,2020-01-15 00:00:00 +01:00,2020-01-16 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT116A,STA.IT2210A,IT2210A,SPO.IT2210A_6001_BETA_2015-01-01_00:00:00,SPP.IT2210A_6001_BETA_2015-01-01_00:00:00,SAM.IT2210A_6001_BETA_2015-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,33.6000000000,µg/m3,2020-01-16 00:00:00 +01:00,2020-01-17 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT116A,STA.IT2210A,IT2210A,SPO.IT2210A_6001_BETA_2015-01-01_00:00:00,SPP.IT2210A_6001_BETA_2015-01-01_00:00:00,SAM.IT2210A_6001_BETA_2015-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,44.1000000000,µg/m3,2020-01-17 00:00:00 +01:00,2020-01-18 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT116A,STA.IT2210A,IT2210A,SPO.IT2210A_6001_BETA_2015-01-01_00:00:00,SPP.IT2210A_6001_BETA_2015-01-01_00:00:00,SAM.IT2210A_6001_BETA_2015-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,0.0000000000,µg/m3,2020-01-18 00:00:00 +01:00,2020-01-19 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT116A,STA.IT2210A,IT2210A,SPO.IT2210A_6001_BETA_2015-01-01_00:00:00,SPP.IT2210A_6001_BETA_2015-01-01_00:00:00,SAM.IT2210A_6001_BETA_2015-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,23.9000000000,µg/m3,2020-01-19 00:00:00 +01:00,2020-01-20 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT116A,STA.IT2210A,IT2210A,SPO.IT2210A_6001_BETA_2015-01-01_00:00:00,SPP.IT2210A_6001_BETA_2015-01-01_00:00:00,SAM.IT2210A_6001_BETA_2015-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,10.7000000000,µg/m3,2020-01-20 00:00:00 +01:00,2020-01-21 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT116A,STA.IT2210A,IT2210A,SPO.IT2210A_6001_BETA_2015-01-01_00:00:00,SPP.IT2210A_6001_BETA_2015-01-01_00:00:00,SAM.IT2210A_6001_BETA_2015-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,17.2000000000,µg/m3,2020-01-21 00:00:00 +01:00,2020-01-22 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT116A,STA.IT2210A,IT2210A,SPO.IT2210A_6001_BETA_2015-01-01_00:00:00,SPP.IT2210A_6001_BETA_2015-01-01_00:00:00,SAM.IT2210A_6001_BETA_2015-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,47.7000000000,µg/m3,2020-01-22 00:00:00 +01:00,2020-01-23 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT116A,STA.IT2210A,IT2210A,SPO.IT2210A_6001_BETA_2015-01-01_00:00:00,SPP.IT2210A_6001_BETA_2015-01-01_00:00:00,SAM.IT2210A_6001_BETA_2015-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,29.0000000000,µg/m3,2020-01-23 00:00:00 +01:00,2020-01-24 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT116A,STA.IT2210A,IT2210A,SPO.IT2210A_6001_BETA_2015-01-01_00:00:00,SPP.IT2210A_6001_BETA_2015-01-01_00:00:00,SAM.IT2210A_6001_BETA_2015-01-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,0.0000000000,µg/m3,2020-01-24 00:00:00 +01:00,2020-01-25 00:00:00 +01:00,1,3
