Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IT,IT.ISPRA.AQD,NET.IT260A,STA.IT2026A,IT2026A,SPO.IT2026A_6001_BETA_2007-01-11_00:00:00,SPP.IT2026A_6001_BETA_2007-01-11_00:00:00,SAM.IT2026A_6001_BETA_2007-01-11_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,32.7000100000,µg/m3,2020-01-10 00:00:00 +01:00,2020-01-11 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT260A,STA.IT2026A,IT2026A,SPO.IT2026A_6001_BETA_2007-01-11_00:00:00,SPP.IT2026A_6001_BETA_2007-01-11_00:00:00,SAM.IT2026A_6001_BETA_2007-01-11_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,24.9000000000,µg/m3,2020-01-11 00:00:00 +01:00,2020-01-12 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT260A,STA.IT2026A,IT2026A,SPO.IT2026A_6001_BETA_2007-01-11_00:00:00,SPP.IT2026A_6001_BETA_2007-01-11_00:00:00,SAM.IT2026A_6001_BETA_2007-01-11_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,32.5999950000,µg/m3,2020-01-12 00:00:00 +01:00,2020-01-13 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT260A,STA.IT2026A,IT2026A,SPO.IT2026A_6001_BETA_2007-01-11_00:00:00,SPP.IT2026A_6001_BETA_2007-01-11_00:00:00,SAM.IT2026A_6001_BETA_2007-01-11_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,28.2999940000,µg/m3,2020-01-13 00:00:00 +01:00,2020-01-14 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT260A,STA.IT2026A,IT2026A,SPO.IT2026A_6001_BETA_2007-01-11_00:00:00,SPP.IT2026A_6001_BETA_2007-01-11_00:00:00,SAM.IT2026A_6001_BETA_2007-01-11_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,33.7999900000,µg/m3,2020-01-14 00:00:00 +01:00,2020-01-15 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT260A,STA.IT2026A,IT2026A,SPO.IT2026A_6001_BETA_2007-01-11_00:00:00,SPP.IT2026A_6001_BETA_2007-01-11_00:00:00,SAM.IT2026A_6001_BETA_2007-01-11_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,34.0000000000,µg/m3,2020-01-15 00:00:00 +01:00,2020-01-16 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT260A,STA.IT2026A,IT2026A,SPO.IT2026A_6001_BETA_2007-01-11_00:00:00,SPP.IT2026A_6001_BETA_2007-01-11_00:00:00,SAM.IT2026A_6001_BETA_2007-01-11_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,39.0999900000,µg/m3,2020-01-16 00:00:00 +01:00,2020-01-17 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT260A,STA.IT2026A,IT2026A,SPO.IT2026A_6001_BETA_2007-01-11_00:00:00,SPP.IT2026A_6001_BETA_2007-01-11_00:00:00,SAM.IT2026A_6001_BETA_2007-01-11_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,48.8000000000,µg/m3,2020-01-17 00:00:00 +01:00,2020-01-18 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT260A,STA.IT2026A,IT2026A,SPO.IT2026A_6001_BETA_2007-01-11_00:00:00,SPP.IT2026A_6001_BETA_2007-01-11_00:00:00,SAM.IT2026A_6001_BETA_2007-01-11_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,23.2000050000,µg/m3,2020-01-18 00:00:00 +01:00,2020-01-19 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT260A,STA.IT2026A,IT2026A,SPO.IT2026A_6001_BETA_2007-01-11_00:00:00,SPP.IT2026A_6001_BETA_2007-01-11_00:00:00,SAM.IT2026A_6001_BETA_2007-01-11_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,21.6000040000,µg/m3,2020-01-19 00:00:00 +01:00,2020-01-20 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT260A,STA.IT2026A,IT2026A,SPO.IT2026A_6001_BETA_2007-01-11_00:00:00,SPP.IT2026A_6001_BETA_2007-01-11_00:00:00,SAM.IT2026A_6001_BETA_2007-01-11_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,13.7999990000,µg/m3,2020-01-21 00:00:00 +01:00,2020-01-22 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT260A,STA.IT2026A,IT2026A,SPO.IT2026A_6001_BETA_2007-01-11_00:00:00,SPP.IT2026A_6001_BETA_2007-01-11_00:00:00,SAM.IT2026A_6001_BETA_2007-01-11_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,26.0999980000,µg/m3,2020-01-22 00:00:00 +01:00,2020-01-23 00:00:00 +01:00,1,3
