Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IT,IT.ISPRA.AQD,NET.IT114A,STA.IT0908A,IT0908A,SPO.IT0908A_6001_BETA_2016-10-26_00:00:00,SPP.IT0908A_6001_BETA_2016-10-26_00:00:00,SAM.IT0908A_6001_BETA_2016-10-26_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,16.3000000000,µg/m3,2020-01-10 00:00:00 +01:00,2020-01-11 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT114A,STA.IT0908A,IT0908A,SPO.IT0908A_6001_BETA_2016-10-26_00:00:00,SPP.IT0908A_6001_BETA_2016-10-26_00:00:00,SAM.IT0908A_6001_BETA_2016-10-26_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,7.6000000000,µg/m3,2020-01-11 00:00:00 +01:00,2020-01-12 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT114A,STA.IT0908A,IT0908A,SPO.IT0908A_6001_BETA_2016-10-26_00:00:00,SPP.IT0908A_6001_BETA_2016-10-26_00:00:00,SAM.IT0908A_6001_BETA_2016-10-26_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,20.4000000000,µg/m3,2020-01-12 00:00:00 +01:00,2020-01-13 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT114A,STA.IT0908A,IT0908A,SPO.IT0908A_6001_BETA_2016-10-26_00:00:00,SPP.IT0908A_6001_BETA_2016-10-26_00:00:00,SAM.IT0908A_6001_BETA_2016-10-26_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,18.2000000000,µg/m3,2020-01-13 00:00:00 +01:00,2020-01-14 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT114A,STA.IT0908A,IT0908A,SPO.IT0908A_6001_BETA_2016-10-26_00:00:00,SPP.IT0908A_6001_BETA_2016-10-26_00:00:00,SAM.IT0908A_6001_BETA_2016-10-26_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,16.1000000000,µg/m3,2020-01-14 00:00:00 +01:00,2020-01-15 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT114A,STA.IT0908A,IT0908A,SPO.IT0908A_6001_BETA_2016-10-26_00:00:00,SPP.IT0908A_6001_BETA_2016-10-26_00:00:00,SAM.IT0908A_6001_BETA_2016-10-26_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,16.6000000000,µg/m3,2020-01-15 00:00:00 +01:00,2020-01-16 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT114A,STA.IT0908A,IT0908A,SPO.IT0908A_6001_BETA_2016-10-26_00:00:00,SPP.IT0908A_6001_BETA_2016-10-26_00:00:00,SAM.IT0908A_6001_BETA_2016-10-26_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,17.1000000000,µg/m3,2020-01-16 00:00:00 +01:00,2020-01-17 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT114A,STA.IT0908A,IT0908A,SPO.IT0908A_6001_BETA_2016-10-26_00:00:00,SPP.IT0908A_6001_BETA_2016-10-26_00:00:00,SAM.IT0908A_6001_BETA_2016-10-26_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,14.7000000000,µg/m3,2020-01-17 00:00:00 +01:00,2020-01-18 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT114A,STA.IT0908A,IT0908A,SPO.IT0908A_6001_BETA_2016-10-26_00:00:00,SPP.IT0908A_6001_BETA_2016-10-26_00:00:00,SAM.IT0908A_6001_BETA_2016-10-26_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,4.2000000000,µg/m3,2020-01-18 00:00:00 +01:00,2020-01-19 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT114A,STA.IT0908A,IT0908A,SPO.IT0908A_6001_BETA_2016-10-26_00:00:00,SPP.IT0908A_6001_BETA_2016-10-26_00:00:00,SAM.IT0908A_6001_BETA_2016-10-26_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,8.7000000000,µg/m3,2020-01-19 00:00:00 +01:00,2020-01-20 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT114A,STA.IT0908A,IT0908A,SPO.IT0908A_6001_BETA_2016-10-26_00:00:00,SPP.IT0908A_6001_BETA_2016-10-26_00:00:00,SAM.IT0908A_6001_BETA_2016-10-26_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,13.4000000000,µg/m3,2020-01-20 00:00:00 +01:00,2020-01-21 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT114A,STA.IT0908A,IT0908A,SPO.IT0908A_6001_BETA_2016-10-26_00:00:00,SPP.IT0908A_6001_BETA_2016-10-26_00:00:00,SAM.IT0908A_6001_BETA_2016-10-26_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,26.4000000000,µg/m3,2020-01-21 00:00:00 +01:00,2020-01-22 00:00:00 +01:00,1,3
