Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IT,IT.ISPRA.AQD,NET.IT116A,STA.IT2273A,IT2273A,SPO.IT2273A_6001_BETA_2016-11-18_00:00:00,SPP.IT2273A_6001_BETA_2016-11-18_00:00:00,SAM.IT2273A_6001_BETA_2016-11-18_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,20.2000000000,µg/m3,2020-01-11 00:00:00 +01:00,2020-01-12 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT116A,STA.IT2273A,IT2273A,SPO.IT2273A_6001_BETA_2016-11-18_00:00:00,SPP.IT2273A_6001_BETA_2016-11-18_00:00:00,SAM.IT2273A_6001_BETA_2016-11-18_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,8.1000000000,µg/m3,2020-01-12 00:00:00 +01:00,2020-01-13 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT116A,STA.IT2273A,IT2273A,SPO.IT2273A_6001_BETA_2016-11-18_00:00:00,SPP.IT2273A_6001_BETA_2016-11-18_00:00:00,SAM.IT2273A_6001_BETA_2016-11-18_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,9.9000000000,µg/m3,2020-01-13 00:00:00 +01:00,2020-01-14 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT116A,STA.IT2273A,IT2273A,SPO.IT2273A_6001_BETA_2016-11-18_00:00:00,SPP.IT2273A_6001_BETA_2016-11-18_00:00:00,SAM.IT2273A_6001_BETA_2016-11-18_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,19.5000000000,µg/m3,2020-01-14 00:00:00 +01:00,2020-01-15 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT116A,STA.IT2273A,IT2273A,SPO.IT2273A_6001_BETA_2016-11-18_00:00:00,SPP.IT2273A_6001_BETA_2016-11-18_00:00:00,SAM.IT2273A_6001_BETA_2016-11-18_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,25.1000000000,µg/m3,2020-01-15 00:00:00 +01:00,2020-01-16 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT116A,STA.IT2273A,IT2273A,SPO.IT2273A_6001_BETA_2016-11-18_00:00:00,SPP.IT2273A_6001_BETA_2016-11-18_00:00:00,SAM.IT2273A_6001_BETA_2016-11-18_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,25.2000000000,µg/m3,2020-01-16 00:00:00 +01:00,2020-01-17 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT116A,STA.IT2273A,IT2273A,SPO.IT2273A_6001_BETA_2016-11-18_00:00:00,SPP.IT2273A_6001_BETA_2016-11-18_00:00:00,SAM.IT2273A_6001_BETA_2016-11-18_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,28.5000000000,µg/m3,2020-01-17 00:00:00 +01:00,2020-01-18 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT116A,STA.IT2273A,IT2273A,SPO.IT2273A_6001_BETA_2016-11-18_00:00:00,SPP.IT2273A_6001_BETA_2016-11-18_00:00:00,SAM.IT2273A_6001_BETA_2016-11-18_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,32.5000000000,µg/m3,2020-01-18 00:00:00 +01:00,2020-01-19 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT116A,STA.IT2273A,IT2273A,SPO.IT2273A_6001_BETA_2016-11-18_00:00:00,SPP.IT2273A_6001_BETA_2016-11-18_00:00:00,SAM.IT2273A_6001_BETA_2016-11-18_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,8.4000000000,µg/m3,2020-01-19 00:00:00 +01:00,2020-01-20 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT116A,STA.IT2273A,IT2273A,SPO.IT2273A_6001_BETA_2016-11-18_00:00:00,SPP.IT2273A_6001_BETA_2016-11-18_00:00:00,SAM.IT2273A_6001_BETA_2016-11-18_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,9.1000000000,µg/m3,2020-01-20 00:00:00 +01:00,2020-01-21 00:00:00 +01:00,1,3
