Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT1940A,IT1940A,SPO.IT1940A_6001_BETA_2009-03-01_00:00:00,SPP.IT1940A_6001_BETA_2009-03-01_00:00:00,SAM.IT1940A_6001_BETA_2009-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,18.8500040000,µg/m3,2020-01-11 00:00:00 +01:00,2020-01-12 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT1940A,IT1940A,SPO.IT1940A_6001_BETA_2009-03-01_00:00:00,SPP.IT1940A_6001_BETA_2009-03-01_00:00:00,SAM.IT1940A_6001_BETA_2009-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,14.7399990000,µg/m3,2020-01-12 00:00:00 +01:00,2020-01-13 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT1940A,IT1940A,SPO.IT1940A_6001_BETA_2009-03-01_00:00:00,SPP.IT1940A_6001_BETA_2009-03-01_00:00:00,SAM.IT1940A_6001_BETA_2009-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,14.6199980000,µg/m3,2020-01-13 00:00:00 +01:00,2020-01-14 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT1940A,IT1940A,SPO.IT1940A_6001_BETA_2009-03-01_00:00:00,SPP.IT1940A_6001_BETA_2009-03-01_00:00:00,SAM.IT1940A_6001_BETA_2009-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,15.2700000000,µg/m3,2020-01-14 00:00:00 +01:00,2020-01-15 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT1940A,IT1940A,SPO.IT1940A_6001_BETA_2009-03-01_00:00:00,SPP.IT1940A_6001_BETA_2009-03-01_00:00:00,SAM.IT1940A_6001_BETA_2009-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,18.7000050000,µg/m3,2020-01-15 00:00:00 +01:00,2020-01-16 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT1940A,IT1940A,SPO.IT1940A_6001_BETA_2009-03-01_00:00:00,SPP.IT1940A_6001_BETA_2009-03-01_00:00:00,SAM.IT1940A_6001_BETA_2009-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,16.0499970000,µg/m3,2020-01-16 00:00:00 +01:00,2020-01-17 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT1940A,IT1940A,SPO.IT1940A_6001_BETA_2009-03-01_00:00:00,SPP.IT1940A_6001_BETA_2009-03-01_00:00:00,SAM.IT1940A_6001_BETA_2009-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,20.6000040000,µg/m3,2020-01-17 00:00:00 +01:00,2020-01-18 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT1940A,IT1940A,SPO.IT1940A_6001_BETA_2009-03-01_00:00:00,SPP.IT1940A_6001_BETA_2009-03-01_00:00:00,SAM.IT1940A_6001_BETA_2009-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,10.8600000000,µg/m3,2020-01-18 00:00:00 +01:00,2020-01-19 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT1940A,IT1940A,SPO.IT1940A_6001_BETA_2009-03-01_00:00:00,SPP.IT1940A_6001_BETA_2009-03-01_00:00:00,SAM.IT1940A_6001_BETA_2009-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,5.3099990000,µg/m3,2020-01-19 00:00:00 +01:00,2020-01-20 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT1940A,IT1940A,SPO.IT1940A_6001_BETA_2009-03-01_00:00:00,SPP.IT1940A_6001_BETA_2009-03-01_00:00:00,SAM.IT1940A_6001_BETA_2009-03-01_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,10.6000020000,µg/m3,2020-01-20 00:00:00 +01:00,2020-01-21 00:00:00 +01:00,1,3
