Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT2089A,IT2089A,SPO.IT2089A_6001_BETA_2014-10-14_00:00:00,SPP.IT2089A_6001_BETA_2014-10-14_00:00:00,SAM.IT2089A_6001_BETA_2014-10-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,14.6499970000,µg/m3,2020-01-11 00:00:00 +01:00,2020-01-12 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT2089A,IT2089A,SPO.IT2089A_6001_BETA_2014-10-14_00:00:00,SPP.IT2089A_6001_BETA_2014-10-14_00:00:00,SAM.IT2089A_6001_BETA_2014-10-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,17.3399980000,µg/m3,2020-01-12 00:00:00 +01:00,2020-01-13 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT2089A,IT2089A,SPO.IT2089A_6001_BETA_2014-10-14_00:00:00,SPP.IT2089A_6001_BETA_2014-10-14_00:00:00,SAM.IT2089A_6001_BETA_2014-10-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,13.7800000000,µg/m3,2020-01-13 00:00:00 +01:00,2020-01-14 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT2089A,IT2089A,SPO.IT2089A_6001_BETA_2014-10-14_00:00:00,SPP.IT2089A_6001_BETA_2014-10-14_00:00:00,SAM.IT2089A_6001_BETA_2014-10-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,12.2700000000,µg/m3,2020-01-14 00:00:00 +01:00,2020-01-15 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT2089A,IT2089A,SPO.IT2089A_6001_BETA_2014-10-14_00:00:00,SPP.IT2089A_6001_BETA_2014-10-14_00:00:00,SAM.IT2089A_6001_BETA_2014-10-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,14.6300020000,µg/m3,2020-01-15 00:00:00 +01:00,2020-01-16 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT2089A,IT2089A,SPO.IT2089A_6001_BETA_2014-10-14_00:00:00,SPP.IT2089A_6001_BETA_2014-10-14_00:00:00,SAM.IT2089A_6001_BETA_2014-10-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,15.4299960000,µg/m3,2020-01-16 00:00:00 +01:00,2020-01-17 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT2089A,IT2089A,SPO.IT2089A_6001_BETA_2014-10-14_00:00:00,SPP.IT2089A_6001_BETA_2014-10-14_00:00:00,SAM.IT2089A_6001_BETA_2014-10-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,11.7100020000,µg/m3,2020-01-17 00:00:00 +01:00,2020-01-18 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT2089A,IT2089A,SPO.IT2089A_6001_BETA_2014-10-14_00:00:00,SPP.IT2089A_6001_BETA_2014-10-14_00:00:00,SAM.IT2089A_6001_BETA_2014-10-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,6.0199990000,µg/m3,2020-01-18 00:00:00 +01:00,2020-01-19 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT2089A,IT2089A,SPO.IT2089A_6001_BETA_2014-10-14_00:00:00,SPP.IT2089A_6001_BETA_2014-10-14_00:00:00,SAM.IT2089A_6001_BETA_2014-10-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,8.5599990000,µg/m3,2020-01-19 00:00:00 +01:00,2020-01-20 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT2089A,IT2089A,SPO.IT2089A_6001_BETA_2014-10-14_00:00:00,SPP.IT2089A_6001_BETA_2014-10-14_00:00:00,SAM.IT2089A_6001_BETA_2014-10-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,10.7500000000,µg/m3,2020-01-20 00:00:00 +01:00,2020-01-21 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT2089A,IT2089A,SPO.IT2089A_6001_BETA_2014-10-14_00:00:00,SPP.IT2089A_6001_BETA_2014-10-14_00:00:00,SAM.IT2089A_6001_BETA_2014-10-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,15.7200000000,µg/m3,2020-01-22 00:00:00 +01:00,2020-01-23 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT2089A,IT2089A,SPO.IT2089A_6001_BETA_2014-10-14_00:00:00,SPP.IT2089A_6001_BETA_2014-10-14_00:00:00,SAM.IT2089A_6001_BETA_2014-10-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,18.4899960000,µg/m3,2020-01-23 00:00:00 +01:00,2020-01-24 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT2089A,IT2089A,SPO.IT2089A_6001_BETA_2014-10-14_00:00:00,SPP.IT2089A_6001_BETA_2014-10-14_00:00:00,SAM.IT2089A_6001_BETA_2014-10-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,12.5200000000,µg/m3,2020-01-24 00:00:00 +01:00,2020-01-25 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT2089A,IT2089A,SPO.IT2089A_6001_BETA_2014-10-14_00:00:00,SPP.IT2089A_6001_BETA_2014-10-14_00:00:00,SAM.IT2089A_6001_BETA_2014-10-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,7.4400010000,µg/m3,2020-01-25 00:00:00 +01:00,2020-01-26 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT2089A,IT2089A,SPO.IT2089A_6001_BETA_2014-10-14_00:00:00,SPP.IT2089A_6001_BETA_2014-10-14_00:00:00,SAM.IT2089A_6001_BETA_2014-10-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,7.3999990000,µg/m3,2020-01-26 00:00:00 +01:00,2020-01-27 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT2089A,IT2089A,SPO.IT2089A_6001_BETA_2014-10-14_00:00:00,SPP.IT2089A_6001_BETA_2014-10-14_00:00:00,SAM.IT2089A_6001_BETA_2014-10-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,7.8300010000,µg/m3,2020-01-27 00:00:00 +01:00,2020-01-28 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT2089A,IT2089A,SPO.IT2089A_6001_BETA_2014-10-14_00:00:00,SPP.IT2089A_6001_BETA_2014-10-14_00:00:00,SAM.IT2089A_6001_BETA_2014-10-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,5.5000000000,µg/m3,2020-01-28 00:00:00 +01:00,2020-01-29 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT2089A,IT2089A,SPO.IT2089A_6001_BETA_2014-10-14_00:00:00,SPP.IT2089A_6001_BETA_2014-10-14_00:00:00,SAM.IT2089A_6001_BETA_2014-10-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,9.8800020000,µg/m3,2020-02-14 00:00:00 +01:00,2020-02-15 00:00:00 +01:00,1,3
IT,IT.ISPRA.AQD,NET.IT253A,STA.IT2089A,IT2089A,SPO.IT2089A_6001_BETA_2014-10-14_00:00:00,SPP.IT2089A_6001_BETA_2014-10-14_00:00:00,SAM.IT2089A_6001_BETA_2014-10-14_00:00:00,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,7.6499990000,µg/m3,2020-01-02 00:00:00 +01:00,2020-01-03 00:00:00 +01:00,1,3
