"","mavgs","lags","sdcorr","meancorr","mediancorr"
"1","1","0",0.266283433868426,0.0304272403269269,0.0487949009378364
"2","1","1",0.254126045618796,-0.0101954222478768,0.0224450930727923
"3","1","2",0.321539384225207,-0.00404266211532327,-0.0482584647965993
"4","1","3",0.284404835436579,-0.0128969315070562,-0.0129060593459014
"5","1","4",0.236101822509338,0.00911019281826058,-0.0441837851741757
"6","1","5",0.266097111433472,0.0345774065693979,0.0496019014044438
"7","1","6",0.266824118253566,-0.0298462673362202,-0.000651427494205666
"8","1","7",0.205220515369485,0.00879253477108515,-0.053065572909103
"9","1","8",0.237816540132729,-0.00601154225803412,-0.0527948229068263
"10","1","9",0.277684578629154,0.0038847426050114,-2.80038832853879e-05
"11","1","10",0.261472102948536,0.00626496573612824,-0.056002226150876
"12","1","11",0.245470502064951,0.0269419753857312,-0.00364006497279197
"13","1","12",0.276513206259661,-0.0713456342853876,-0.151901556972575
"14","1","13",0.292514924582931,-0.0849317507210645,-0.0446248611670435
"15","1","14",0.371371409501403,-0.0118136326328441,0.0865339776986961
"16","1","15",0.385630844714278,-0.0283138214782716,0.106649913013617
"17","1","16",0.201491891145898,0.0300238469954478,0.0677922397906484
"18","1","17",0.105325966455101,-0.0546386722263037,-0.0768918439236435
"19","1","18",0.167846076733575,-0.196188162157246,-0.136370335710111
"20","1","19",0.22795176229187,-0.18779705163206,-0.20282513577512
"21","1","20",0.157666077442298,-0.129151053283061,-0.147726884210879
"22","2","0",0.277407690301255,-0.00519553603789268,-0.00730879525153016
"23","2","1",0.318609485619212,-0.0302520235784316,-0.0685965370072961
"24","2","2",0.333148993752134,-0.0268845550327761,-0.0490387397631179
"25","2","3",0.277818992157701,-0.0143380815015901,-0.0291025209126654
"26","2","4",0.255608892725897,0.0131786550614783,0.0203718883562036
"27","2","5",0.296181549214925,-0.0200759292342425,0.0890076638627023
"28","2","6",0.271378605022737,-0.0338901083772512,-0.0529824519454515
"29","2","7",0.240726771742874,-0.00764910752041452,-0.0637757721698571
"30","2","8",0.286687660702444,-0.012368846134362,-0.0471821733180121
"31","2","9",0.284923131556679,-0.00930339487273257,-0.0986867440985111
"32","2","10",0.277202659767867,0.000869272117978295,-0.00887217255679843
"33","2","11",0.267976328753226,-0.0541654838787302,-0.135453322717509
"34","2","12",0.313067793874415,-0.119225635556427,-0.115725820568714
"35","2","13",0.330665448040188,-0.0301156440208241,0.0204127841597932
"36","2","14",0.42012302408377,-0.0225324226181857,0.0850607610433091
"37","2","15",0.396108140661292,-0.0510196750050409,0.0669020239327673
"38","2","16",0.181060074789834,-0.0222668035465384,-0.0147884465715847
"39","2","17",0.154008907970369,-0.161827245969023,-0.183577016629529
"40","2","18",0.222537587563269,-0.24422952735219,-0.263634030689652
"41","2","19",0.202767058178503,-0.196739433252166,-0.176511095445825
"42","2","20",0.252405173901924,-0.128669337912306,-0.105097350072226
"43","3","0",0.325162928284369,-0.0221374524055153,-0.0461059342060861
"44","3","1",0.346074732421882,-0.0379361928977029,-0.123210559428164
"45","3","2",0.343830142726227,-0.0284155099800264,-0.025812652896435
"46","3","3",0.281471657165898,-0.00633731739103528,-0.0643279951329931
"47","3","4",0.270375721009752,-0.0212218506407705,0.0676286794463369
"48","3","5",0.297762735061669,-0.0154717031244967,0.0392405107550327
"49","3","6",0.258039057372508,-0.0465702248112679,-0.0814851940625767
"50","3","7",0.284274526928427,-0.0186618956368281,-0.0441593839296686
"51","3","8",0.296709925692774,-0.0215099447080223,-0.0508111761012265
"52","3","9",0.296914258399833,-0.0179329158543112,-0.0729128494486607
"53","3","10",0.278475107753152,-0.0720920697037263,-0.117631936407626
"54","3","11",0.309600668907018,-0.104111440377401,-0.146913209442557
"55","3","12",0.342179819794431,-0.0930565200222341,-0.0303896944261589
"56","3","13",0.368026253103165,-0.0308969738344421,0.00246372839109105
"57","3","14",0.423807376151766,-0.054060223545188,0.057760746373077
"58","3","15",0.362663398145121,-0.0952946054471592,-0.0216269453850733
